,Sightline,lambda0,f,gamma,b,N,v_rad,v_resolution,n_step,fit_report
10,HD 144470,4232.548,0.3393,38000000.0,3.4023572432560236,99761078140.39589,-1.4206618609875272,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 45
    # data points      = 25
    # variables        = 3
    chi-square         = 1.0179e-04
    reduced chi-square = 4.6269e-06
    Akaike info crit   = -304.286660
    Bayesian info crit = -300.630032
    R-squared          = 0.98867693
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.40235724 +/- 0.09829824 (2.89%) (init = 2.36)
    N:             9.9761e+10 +/- 2.4856e+09 (2.49%) (init = 7e+11)
    v_rad:        -1.42066186 +/- 0.06974490 (4.91%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5536"
11,HD 144470,4232.548,0.3393,38000000.0,2.9290841018568643,95256874343.57254,-1.9361711632258563,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 50
    # data points      = 25
    # variables        = 3
    chi-square         = 5.1356e-04
    reduced chi-square = 2.3343e-05
    Akaike info crit   = -263.825724
    Bayesian info crit = -260.169096
    R-squared          = 0.95216958
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.92908410 +/- 0.18600969 (6.35%) (init = 2.36)
    N:             9.5257e+10 +/- 5.2025e+09 (5.46%) (init = 7e+11)
    v_rad:        -1.93617116 +/- 0.13187103 (6.81%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5509"
12,HD 147165,4232.548,0.3393,38000000.0,2.453172231763148,88437019386.75494,-0.66548348268975,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 37
    # data points      = 25
    # variables        = 3
    chi-square         = 6.8578e-04
    reduced chi-square = 3.1172e-05
    Akaike info crit   = -256.595793
    Bayesian info crit = -252.939165
    R-squared          = 0.93952952
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.45317223 +/- 0.17921102 (7.31%) (init = 2.36)
    N:             8.8437e+10 +/- 5.5302e+09 (6.25%) (init = 7e+11)
    v_rad:        -0.66548348 +/- 0.12684910 (19.06%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5479"
13,HD 147165,4232.548,0.3393,38000000.0,2.889325411168598,86808801910.68481,-0.3696796880605848,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 33
    # data points      = 25
    # variables        = 3
    chi-square         = 2.0384e-04
    reduced chi-square = 9.2657e-06
    Akaike info crit   = -286.925719
    Bayesian info crit = -283.269091
    R-squared          = 0.97664545
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.88932541 +/- 0.12577803 (4.35%) (init = 2.36)
    N:             8.6809e+10 +/- 3.2471e+09 (3.74%) (init = 7e+11)
    v_rad:        -0.36967969 +/- 0.08909145 (24.10%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5530"
14,HD 147683,4232.548,0.3393,38000000.0,5.374969965872935,318131329488.8648,1.6687363324692432,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 45
    # data points      = 25
    # variables        = 3
    chi-square         = 0.00239924
    reduced chi-square = 1.0906e-04
    Akaike info crit   = -225.286950
    Bayesian info crit = -221.630323
    R-squared          = 0.95218088
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             5.37496997 +/- 0.30267307 (5.63%) (init = 2.36)
    N:             3.1813e+11 +/- 1.5649e+10 (4.92%) (init = 7e+11)
    v_rad:         1.66873633 +/- 0.21719127 (13.02%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5287"
15,HD 147683,4232.548,0.3393,38000000.0,5.223979647193507,336720011321.8172,0.912973892608446,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 41
    # data points      = 25
    # variables        = 3
    chi-square         = 0.00321896
    reduced chi-square = 1.4632e-04
    Akaike info crit   = -217.939325
    Bayesian info crit = -214.282697
    R-squared          = 0.94278010
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             5.22397965 +/- 0.31890322 (6.10%) (init = 2.36)
    N:             3.3672e+11 +/- 1.7975e+10 (5.34%) (init = 7e+11)
    v_rad:         0.91297389 +/- 0.22913916 (25.10%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5241"
16,HD 149757,4232.548,0.3393,38000000.0,3.101291494490219,460175288601.5546,-0.03560236859150987,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 25
    # data points      = 25
    # variables        = 3
    chi-square         = 4.2913e-04
    reduced chi-square = 1.9506e-05
    Akaike info crit   = -268.315927
    Bayesian info crit = -264.659300
    R-squared          = 0.99745481
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.10129149 +/- 0.04225866 (1.36%) (init = 2.36)
    N:             4.6018e+11 +/- 5.5706e+09 (1.21%) (init = 7e+11)
    v_rad:        -0.03560237 +/- 0.03090504 (86.81%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.4479"
17,HD 149757,4232.548,0.3393,38000000.0,2.5555216996529695,473309722834.9917,-0.9930295965320458,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 25
    # data points      = 25
    # variables        = 3
    chi-square         = 2.4829e-04
    reduced chi-square = 1.1286e-05
    Akaike info crit   = -281.994685
    Bayesian info crit = -278.338058
    R-squared          = 0.99882920
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.55552170 +/- 0.02427234 (0.95%) (init = 2.36)
    N:             4.7331e+11 +/- 4.0202e+09 (0.85%) (init = 7e+11)
    v_rad:        -0.99302960 +/- 0.01785335 (1.80%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.4120"
18,HD 149757,4232.548,0.3393,38000000.0,2.584444447027895,459364390680.89294,-0.8335886830877092,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 21
    # data points      = 25
    # variables        = 3
    chi-square         = 4.3702e-04
    reduced chi-square = 1.9865e-05
    Akaike info crit   = -267.859932
    Bayesian info crit = -264.203305
    R-squared          = 0.99784574
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.58444445 +/- 0.03351619 (1.30%) (init = 2.36)
    N:             4.5936e+11 +/- 5.3165e+09 (1.16%) (init = 7e+11)
    v_rad:        -0.83358868 +/- 0.02462055 (2.95%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.4194"
19,HD 149757,4232.548,0.3393,38000000.0,2.823839648294313,435326323489.5527,0.020488560094581585,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 53
    # data points      = 25
    # variables        = 3
    chi-square         = 0.05036052
    reduced chi-square = 0.00228911
    Akaike info crit   = -149.185591
    Bayesian info crit = -145.528963
    R-squared          = 0.78997853
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.82383965 +/- 0.42374166 (15.01%) (init = 2.36)
    N:             4.3533e+11 +/- 5.7997e+10 (13.32%) (init = 7e+11)
    v_rad:         0.02048856 +/- 0.30991654 (1512.63%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.4423"
20,HD 149757,4232.548,0.3393,38000000.0,3.027977191457563,460244263190.6215,-0.13117985819944725,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 21
    # data points      = 25
    # variables        = 3
    chi-square         = 2.6064e-04
    reduced chi-square = 1.1847e-05
    Akaike info crit   = -280.781487
    Bayesian info crit = -277.124859
    R-squared          = 0.99848770
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.02797719 +/- 0.03188789 (1.05%) (init = 2.36)
    N:             4.6024e+11 +/- 4.3083e+09 (0.94%) (init = 7e+11)
    v_rad:        -0.13117986 +/- 0.02333426 (17.79%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.4445"
21,HD 149757,4232.548,0.3393,38000000.0,1.5354864475108838,142335666195.1433,0.9730107613635358,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 69
    # data points      = 25
    # variables        = 3
    chi-square         = 0.39247492
    reduced chi-square = 0.01783977
    Akaike info crit   = -97.8539617
    Bayesian info crit = -94.1973342
    R-squared          = 0.05683986
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             1.53548645 +/- 1.51436422 (98.62%) (init = 2.36)
    N:             1.4234e+11 +/- 1.1328e+11 (79.59%) (init = 7e+11)
    v_rad:         0.97301076 +/- 1.01203861 (104.01%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5149"
22,HD 166937,4232.548,0.3393,38000000.0,2.811340339320758,175894827790.47775,-0.9152296192794857,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 41
    # data points      = 25
    # variables        = 3
    chi-square         = 3.6071e-04
    reduced chi-square = 1.6396e-05
    Akaike info crit   = -272.657769
    Bayesian info crit = -269.001141
    R-squared          = 0.98929826
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.81134034 +/- 0.08158440 (2.90%) (init = 2.36)
    N:             1.7589e+11 +/- 4.4156e+09 (2.51%) (init = 7e+11)
    v_rad:        -0.91522962 +/- 0.05828852 (6.37%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5255"
23,HD 166937,4232.548,0.3393,38000000.0,3.0042016842187484,170834559697.60626,-0.22651268714529108,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 33
    # data points      = 25
    # variables        = 3
    chi-square         = 2.6212e-04
    reduced chi-square = 1.1915e-05
    Akaike info crit   = -280.639151
    Bayesian info crit = -276.982524
    R-squared          = 0.99092140
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.00420168 +/- 0.07854119 (2.61%) (init = 2.36)
    N:             1.7083e+11 +/- 3.8652e+09 (2.26%) (init = 7e+11)
    v_rad:        -0.22651269 +/- 0.05607777 (24.76%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5304"
24,HD 170740,4232.548,0.3393,38000000.0,3.6778514170539522,253561745037.67313,-0.6381229635264686,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 25
    # variables        = 3
    chi-square         = 4.4324e-04
    reduced chi-square = 2.0147e-05
    Akaike info crit   = -267.506785
    Bayesian info crit = -263.850158
    R-squared          = 0.99097829
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.67785142 +/- 0.09369269 (2.55%) (init = 2.36)
    N:             2.5356e+11 +/- 5.6304e+09 (2.22%) (init = 7e+11)
    v_rad:        -0.63812296 +/- 0.06725729 (10.54%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5201"
25,HD 170740,4232.548,0.3393,38000000.0,4.1365845973748065,250184884907.34033,0.08700454425676439,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 25
    # variables        = 3
    chi-square         = 2.6027e-04
    reduced chi-square = 1.1830e-05
    Akaike info crit   = -280.816969
    Bayesian info crit = -277.160341
    R-squared          = 0.99372244
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             4.13658460 +/- 0.08597741 (2.08%) (init = 2.36)
    N:             2.5018e+11 +/- 4.5313e+09 (1.81%) (init = 7e+11)
    v_rad:         0.08700454 +/- 0.06163174 (70.84%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5275"
26,HD 170740,4232.548,0.3393,38000000.0,4.163301599122939,256043619832.84546,-0.624030033952203,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 25
    # variables        = 3
    chi-square         = 3.9612e-04
    reduced chi-square = 1.8006e-05
    Akaike info crit   = -270.316619
    Bayesian info crit = -266.659991
    R-squared          = 0.99079172
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             4.16330160 +/- 0.10472799 (2.52%) (init = 2.36)
    N:             2.5604e+11 +/- 5.6144e+09 (2.19%) (init = 7e+11)
    v_rad:        -0.62403003 +/- 0.07509750 (12.03%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5266"
27,HD 170740,4232.548,0.3393,38000000.0,4.08877345764122,249383257391.10754,-0.2514635414853271,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 33
    # data points      = 25
    # variables        = 3
    chi-square         = 2.3855e-04
    reduced chi-square = 1.0843e-05
    Akaike info crit   = -282.995568
    Bayesian info crit = -279.338941
    R-squared          = 0.99419267
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             4.08877346 +/- 0.08119487 (1.99%) (init = 2.36)
    N:             2.4938e+11 +/- 4.3153e+09 (1.73%) (init = 7e+11)
    v_rad:        -0.25146354 +/- 0.05820776 (23.15%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5270"
28,HD 170740,4232.548,0.3393,38000000.0,4.168043459363011,245208566036.30765,0.19182420452961008,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 33
    # data points      = 25
    # variables        = 3
    chi-square         = 4.3525e-04
    reduced chi-square = 1.9784e-05
    Akaike info crit   = -267.961476
    Bayesian info crit = -264.304849
    R-squared          = 0.98908048
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             4.16804346 +/- 0.11455265 (2.75%) (init = 2.36)
    N:             2.4521e+11 +/- 5.8708e+09 (2.39%) (init = 7e+11)
    v_rad:         0.19182420 +/- 0.08208392 (42.79%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5289"
29,HD 170740,4232.548,0.3393,38000000.0,3.729147014053658,237052500777.4769,-0.5402353004847985,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 25
    # variables        = 3
    chi-square         = 0.00212332
    reduced chi-square = 9.6514e-05
    Akaike info crit   = -228.341299
    Bayesian info crit = -224.684671
    R-squared          = 0.95542106
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.72914701 +/- 0.22284628 (5.98%) (init = 2.36)
    N:             2.3705e+11 +/- 1.2334e+10 (5.20%) (init = 7e+11)
    v_rad:        -0.54023530 +/- 0.15975641 (29.57%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5248"
