,Sightline,Red Chi-Squared,lambda0,f,gamma,b,N,v_rad,v_resolution,n_step,fit_report
10,HD 144470,3.1869287854428035e-06,4232.548,0.00545,100000000.0,2.7620312630264365,6613510978684.569,-1.4368704906431267,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 35
    # variables        = 3
    chi-square         = 1.0198e-04
    reduced chi-square = 3.1869e-06
    Akaike info crit   = -440.112276
    Bayesian info crit = -435.446232
    R-squared          = 0.98967513
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.76203126 +/- 0.10499387 (3.80%) (init = 3.36)
    N:             6.6135e+12 +/- 1.3077e+11 (1.98%) (init = 7e+12)
    v_rad:        -1.43687049 +/- 0.05807195 (4.04%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5342"
11,HD 144470,1.4899432993731057e-05,4232.548,0.00545,100000000.0,2.4725641431983063,7036148954074.702,-2.001049947164465,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 37
    # data points      = 35
    # variables        = 3
    chi-square         = 4.7678e-04
    reduced chi-square = 1.4899e-05
    Akaike info crit   = -386.132985
    Bayesian info crit = -381.466940
    R-squared          = 0.96006899
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.47256414 +/- 0.20427895 (8.26%) (init = 3.36)
    N:             7.0361e+12 +/- 2.7447e+11 (3.90%) (init = 7e+12)
    v_rad:        -2.00104995 +/- 0.10794201 (5.39%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5216"
12,HD 147165,3.3687767778628995e-05,4232.548,0.00545,100000000.0,1.2844314810715365,6024963544143.524,-0.6679637253198649,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 35
    # variables        = 3
    chi-square         = 0.00107801
    reduced chi-square = 3.3688e-05
    Akaike info crit   = -357.579577
    Bayesian info crit = -352.913533
    R-squared          = 0.90946560
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             1.28443148 +/- 0.37090580 (28.88%) (init = 3.36)
    N:             6.0250e+12 +/- 3.4758e+11 (5.77%) (init = 7e+12)
    v_rad:        -0.66796373 +/- 0.13192700 (19.75%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.3651"
13,HD 147165,4.753126141771436e-06,4232.548,0.00545,100000000.0,1.9744022916778075,5692517599388.336,-0.354217755075308,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 25
    # data points      = 35
    # variables        = 3
    chi-square         = 1.5210e-04
    reduced chi-square = 4.7531e-06
    Akaike info crit   = -426.121206
    Bayesian info crit = -421.455162
    R-squared          = 0.98378683
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             1.97440229 +/- 0.13546483 (6.86%) (init = 3.36)
    N:             5.6925e+12 +/- 1.4527e+11 (2.55%) (init = 7e+12)
    v_rad:        -0.35421776 +/- 0.06377960 (18.01%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5077"
14,HD 147683,5.439081267486261e-05,4232.548,0.00545,100000000.0,5.40872689478306,22565263768939.004,1.7466256292071725,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 37
    # data points      = 35
    # variables        = 3
    chi-square         = 0.00174051
    reduced chi-square = 5.4391e-05
    Akaike info crit   = -340.812461
    Bayesian info crit = -336.146417
    R-squared          = 0.97056026
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             5.40872689 +/- 0.23078934 (4.27%) (init = 3.36)
    N:             2.2565e+13 +/- 7.1983e+11 (3.19%) (init = 7e+12)
    v_rad:         1.74662563 +/- 0.15339671 (8.78%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5175"
15,HD 147683,9.455425427340848e-05,4232.548,0.00545,100000000.0,5.061239921347495,22782401754138.24,0.9895683525223278,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 41
    # data points      = 35
    # variables        = 3
    chi-square         = 0.00302574
    reduced chi-square = 9.4554e-05
    Akaike info crit   = -321.458212
    Bayesian info crit = -316.792168
    R-squared          = 0.95398992
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             5.06123992 +/- 0.28105268 (5.55%) (init = 3.36)
    N:             2.2782e+13 +/- 9.2714e+11 (4.07%) (init = 7e+12)
    v_rad:         0.98956835 +/- 0.18511055 (18.71%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5118"
16,HD 149757,1.4090291988386171e-05,4232.548,0.00545,100000000.0,2.2698166017850196,30463060640488.625,-0.03352666854886479,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 35
    # data points      = 35
    # variables        = 3
    chi-square         = 4.5089e-04
    reduced chi-square = 1.4090e-05
    Akaike info crit   = -388.087283
    Bayesian info crit = -383.421239
    R-squared          = 0.99753233
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.26981660 +/- 0.05009502 (2.21%) (init = 3.36)
    N:             3.0463e+13 +/- 3.0109e+11 (0.99%) (init = 7e+12)
    v_rad:        -0.03352667 +/- 0.02632939 (78.53%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.2548"
17,HD 149757,5.506663591187246e-06,4232.548,0.00545,100000000.0,1.4104441433421704,34074867062438.96,-0.9969706718512857,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 34
    # data points      = 35
    # variables        = 3
    chi-square         = 1.7621e-04
    reduced chi-square = 5.5067e-06
    Akaike info crit   = -420.970733
    Bayesian info crit = -416.304689
    R-squared          = 0.99921880
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             1.41044414 +/- 0.03123830 (2.21%) (init = 3.36)
    N:             3.4075e+13 +/- 2.3770e+11 (0.70%) (init = 7e+12)
    v_rad:        -0.99697067 +/- 0.01248138 (1.25%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.4579"
18,HD 149757,9.755632605806766e-06,4232.548,0.00545,100000000.0,1.5201498608345712,32903287686694.734,-0.8364806437340211,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 34
    # data points      = 35
    # variables        = 3
    chi-square         = 3.1218e-04
    reduced chi-square = 9.7556e-06
    Akaike info crit   = -400.954726
    Bayesian info crit = -396.288682
    R-squared          = 0.99855237
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             1.52014986 +/- 0.04127471 (2.72%) (init = 3.36)
    N:             3.2903e+13 +/- 2.8132e+11 (0.85%) (init = 7e+12)
    v_rad:        -0.83648064 +/- 0.01733185 (2.07%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.2925"
19,HD 149757,0.0021620344578257983,4232.548,0.00545,100000000.0,3.775058001554291,41546585820931.55,-0.30899435745869913,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 61
    # data points      = 35
    # variables        = 3
    chi-square         = 0.06918510
    reduced chi-square = 0.00216203
    Akaike info crit   = -211.921122
    Bayesian info crit = -207.255078
    R-squared          = 0.74492264
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             3.77505800 +/- 0.59791261 (15.84%) (init = 3.36)
    N:             4.1547e+13 +/- 4.3701e+12 (10.52%) (init = 7e+12)
    v_rad:        -0.30899436 +/- 0.37907271 (122.68%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.3920"
20,HD 149757,8.65396138404209e-06,4232.548,0.00545,100000000.0,2.1765506322676424,30702147979505.59,-0.13005415307182647,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 34
    # data points      = 35
    # variables        = 3
    chi-square         = 2.7693e-04
    reduced chi-square = 8.6540e-06
    Akaike info crit   = -405.148694
    Bayesian info crit = -400.482650
    R-squared          = 0.99851028
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.17655063 +/- 0.03880989 (1.78%) (init = 3.36)
    N:             3.0702e+13 +/- 2.3528e+11 (0.77%) (init = 7e+12)
    v_rad:        -0.13005415 +/- 0.01999800 (15.38%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.2212"
21,HD 149757,0.01503254082888554,4232.548,0.00545,100000000.0,0.32218754083790185,50377989374073.516,0.7588107739762776,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 108
    # data points      = 35
    # variables        = 3
    chi-square         = 0.48104131
    reduced chi-square = 0.01503254
    Akaike info crit   = -144.050257
    Bayesian info crit = -139.384213
    R-squared          = 0.10611804
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             0.32218754 +/- 19.9341344 (6187.12%) (init = 3.36)
    N:             5.0378e+13 +/- 7.9002e+15 (15681.85%) (init = 7e+12)
    v_rad:         0.75881077 +/- 0.85260870 (112.36%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -1.0000"
22,HD 166937,1.7006039507348557e-05,4232.548,0.00545,100000000.0,1.8243381147240174,11522494239388.805,-0.938767655033104,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 30
    # data points      = 35
    # variables        = 3
    chi-square         = 5.4419e-04
    reduced chi-square = 1.7006e-05
    Akaike info crit   = -381.504396
    Bayesian info crit = -376.838352
    R-squared          = 0.98517754
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             1.82433811 +/- 0.13072986 (7.17%) (init = 3.36)
    N:             1.1522e+13 +/- 2.7692e+11 (2.40%) (init = 7e+12)
    v_rad:        -0.93876766 +/- 0.05946955 (6.33%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.3992"
23,HD 166937,1.4031834515276432e-05,4232.548,0.00545,100000000.0,2.019660584607413,10771682217730.164,-0.24509572411529582,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 37
    # data points      = 35
    # variables        = 3
    chi-square         = 4.4902e-04
    reduced chi-square = 1.4032e-05
    Akaike info crit   = -388.232793
    Bayesian info crit = -383.566748
    R-squared          = 0.98563280
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.01966058 +/- 0.12653706 (6.27%) (init = 3.36)
    N:             1.0772e+13 +/- 2.5709e+11 (2.39%) (init = 7e+12)
    v_rad:        -0.24509572 +/- 0.06088073 (24.84%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.4462"
24,HD 170740,1.153421518241501e-05,4232.548,0.00545,100000000.0,3.1371316125134303,16909468515213.902,-0.6786486245445912,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 33
    # data points      = 35
    # variables        = 3
    chi-square         = 3.6909e-04
    reduced chi-square = 1.1534e-05
    Akaike info crit   = -395.093170
    Bayesian info crit = -390.427126
    R-squared          = 0.99322842
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             3.13713161 +/- 0.08710971 (2.78%) (init = 3.36)
    N:             1.6909e+13 +/- 2.7090e+11 (1.60%) (init = 7e+12)
    v_rad:        -0.67864862 +/- 0.05112351 (7.53%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.4841"
25,HD 170740,3.843810278513969e-06,4232.548,0.00545,100000000.0,3.688435161576054,16568082599781.592,0.06370750128764585,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 35
    # variables        = 3
    chi-square         = 1.2300e-04
    reduced chi-square = 3.8438e-06
    Akaike info crit   = -433.553050
    Bayesian info crit = -428.887006
    R-squared          = 0.99734903
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             3.68843516 +/- 0.05731890 (1.55%) (init = 3.36)
    N:             1.6568e+13 +/- 1.6409e+11 (0.99%) (init = 7e+12)
    v_rad:         0.06370750 +/- 0.03523749 (55.31%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5058"
26,HD 170740,1.0045944751973147e-05,4232.548,0.00545,100000000.0,3.694752406990058,16823090890360.59,-0.6530465489679685,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 35
    # variables        = 3
    chi-square         = 3.2147e-04
    reduced chi-square = 1.0046e-05
    Akaike info crit   = -399.928378
    Bayesian info crit = -395.262334
    R-squared          = 0.99330491
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             3.69475241 +/- 0.09145665 (2.48%) (init = 3.36)
    N:             1.6823e+13 +/- 2.6571e+11 (1.58%) (init = 7e+12)
    v_rad:        -0.65304655 +/- 0.05626546 (8.62%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5048"
27,HD 170740,6.432750206266927e-06,4232.548,0.00545,100000000.0,3.6004816921665945,16379038010257.152,-0.2654990600516043,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 35
    # variables        = 3
    chi-square         = 2.0585e-04
    reduced chi-square = 6.4328e-06
    Akaike info crit   = -415.530219
    Bayesian info crit = -410.864175
    R-squared          = 0.99554244
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             3.60048169 +/- 0.07358545 (2.04%) (init = 3.36)
    N:             1.6379e+13 +/- 2.1047e+11 (1.29%) (init = 7e+12)
    v_rad:        -0.26549906 +/- 0.04494418 (16.93%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5042"
28,HD 170740,1.1150803281210226e-05,4232.548,0.00545,100000000.0,3.8473113325139243,16765802725690.27,0.16044845128820623,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 35
    # variables        = 3
    chi-square         = 3.5683e-04
    reduced chi-square = 1.1151e-05
    Akaike info crit   = -396.276391
    Bayesian info crit = -391.610347
    R-squared          = 0.99214441
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             3.84731133 +/- 0.09983192 (2.59%) (init = 3.36)
    N:             1.6766e+13 +/- 2.8356e+11 (1.69%) (init = 7e+12)
    v_rad:         0.16044845 +/- 0.06203279 (38.66%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5091"
